TIMESTAMP,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~THROUGHPUT~TPS,2013-12-27_08:34~UN*X~PHYSICAL_MEMORY~RAM~USED,2013-12-27_08:34~UN*X~SWAP_SPACE~SWAP~USED,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~RUNNING~VALUE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~COMPLETED~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~DISCARDED~PER_SECOND,2013-12-27_08:34~UN*X~MAIN~CPU~USAGE_(%),2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~SENT~PER_SECOND,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~TIME_TAKEN~AVERAGE,2013-12-27_08:34~COMMON_USAGE_LOGIN_TO_FORUM~MAIN~QUEUED~VALUE
00:02:03,10.0,217,0,0.609,10.0,,,10.0,53.7,0.0
00:02:04,10.0,217,0,0.555,10.0,,,10.0,56.3,0.0
00:02:05,10.0,217,0,0.568,10.0,,,10.0,58.5,0.0
00:02:06,10.0,217,0,0.619,10.0,,,10.0,57.72727272727273,0.0
00:02:07,10.0,217,0,0.544,10.0,,,10.0,53.0,0.0
00:02:08,10.0,217,0,0.541,10.0,,,10.0,54.18181818181818,0.0
00:02:09,9.0,217,0,0.534,10.0,,,10.0,60.2,0.0
00:02:10,11.0,217,0,0.621,10.0,,,10.0,55.36363636363637,0.0
00:02:11,10.0,217,0,0.542,10.0,,,10.0,54.45454545454545,0.0
00:02:12,10.0,217,0,0.554,10.0,,,10.0,,0.0
00:02:13,10.0,217,0,0.563,10.0,,,10.0,55.36363636363637,0.0
00:02:14,10.0,217,0,0.564,10.0,,,10.0,55.5,0.0
00:02:15,10.0,217,0,0.562,10.0,,,10.0,56.54545454545455,0.0
00:02:16,10.0,217,0,0.538,10.0,,,10.0,53.63636363636363,0.0
00:02:17,10.0,217,0,0.583,10.0,,,10.0,61.63636363636363,0.0
00:02:18,10.0,217,0,0.59,10.0,,,10.0,53.09090909090909,0.0
00:02:19,10.0,217,0,0.571,10.0,,,10.0,56.9,0.0
00:02:20,10.0,217,0,0.559,10.0,,,10.0,60.0,0.0
00:02:21,10.0,217,0,0.646,10.0,,,10.0,60.81818181818182,0.0
00:02:22,10.0,217,0,0.564,10.0,,,10.0,54.90909090909091,0.0
00:02:23,10.0,217,0,0.553,10.0,,,10.0,56.4,0.0
00:02:24,10.0,217,0,0.569,10.0,,,10.0,59.36363636363637,0.0
00:02:25,10.0,217,0,0.607,10.0,,,10.0,56.09090909090909,0.0
00:02:26,10.0,217,0,0.56,10.0,,,10.0,55.18181818181818,0.0
00:02:27,10.0,217,0,0.559,10.0,,,10.0,,0.0
00:02:28,10.0,217,0,0.599,10.0,,,10.0,58.81818181818182,0.0
00:02:29,10.0,217,0,0.542,10.0,,,10.0,53.90909090909091,0.0
00:02:30,10.0,217,0,0.56,10.0,,,10.0,56.72727272727273,0.0
00:02:31,6.0,217,0,0.576,6.0,,,10.0,56.81818181818182,0.0
00:02:32,14.0,217,0,1.306,14.0,,,10.0,132.1,0.001
00:02:33,10.0,217,0,0.581,10.0,,,10.0,55.0,0.0
00:02:34,10.0,217,0,0.564,10.0,,,10.0,56.9,0.0
00:02:35,10.0,217,0,0.64,10.0,,,10.0,60.45454545454545,0.0
00:02:36,10.0,217,0,0.552,10.0,,,10.0,56.2,0.0
00:02:37,10.0,217,0,0.56,10.0,,,10.0,57.09090909090909,0.0
00:02:38,10.0,217,0,0.578,10.0,,,10.0,59.3,0.0
00:02:39,10.0,217,0,0.592,10.0,,,10.0,53.63636363636363,0.0
00:02:40,10.0,217,0,0.549,10.0,,,10.0,57.9,0.0
00:02:41,10.0,217,0,0.576,10.0,,,10.0,58.72727272727273,0.0
00:02:42,10.0,217,0,0.602,10.0,,,10.0,54.6,0.0
00:02:43,10.0,217,0,0.561,10.0,,,10.0,55.54545454545455,0.0
00:02:44,10.0,217,0,0.547,10.0,,,10.0,58.3,0.0
00:02:45,10.0,217,0,0.589,10.0,,,10.0,,0.0
00:02:46,10.0,217,0,0.552,10.0,,,10.0,54.54545454545455,0.0
00:02:47,10.0,217,0,0.55,10.0,,,10.0,54.5,0.0
00:02:48,10.0,217,0,0.587,10.0,,,10.0,57.81818181818182,0.0
00:02:49,10.0,217,0,0.543,10.0,,,10.0,53.8,0.0
00:02:50,10.0,217,0,0.579,10.0,,,10.0,58.2,0.0
00:02:51,10.0,217,0,0.601,10.0,,,10.0,58.09090909090909,0.0
00:02:52,10.0,217,0,0.53,10.0,,,10.0,53.5,0.0
00:02:53,10.0,217,0,0.553,10.0,,,10.0,54.54545454545455,0.0
00:02:54,10.0,217,0,0.581,10.0,,,10.0,57.81818181818182,0.0
00:02:55,10.0,217,0,0.573,10.0,,,10.0,57.4,0.0
00:02:56,10.0,217,0,0.537,10.0,,,10.0,54.81818181818182,0.0
00:02:57,10.0,217,0,0.566,10.0,,,10.0,56.3,0.0
00:02:58,10.0,217,0,0.584,10.0,,,10.0,58.8,0.0
00:02:59,10.0,217,0,0.589,10.0,,,10.0,54.72727272727273,0.0
00:03:00,10.0,217,0,0.543,10.0,,,10.0,58.27272727272727,0.0
00:03:01,10.0,217,0,0.586,10.0,,,10.0,59.3,0.0
00:03:02,10.0,217,0,0.598,10.0,,,10.0,53.72727272727273,0.0
00:03:03,10.0,217,0,0.545,10.0,,,10.0,79.0,0.0
00:03:04,10.0,217,0,0.8,10.0,,,10.0,55.0,0.0
00:03:05,10.0,217,0,0.544,10.0,,,10.0,56.8,0.0
00:03:06,10.0,217,0,0.567,10.0,,,10.0,,0.0
00:03:07,10.0,217,0,0.588,10.0,,,10.0,57.45454545454545,0.0
00:03:08,10.0,217,0,0.555,10.0,,,10.0,56.54545454545455,0.0
00:03:09,10.0,217,0,0.563,10.0,,,10.0,55.09090909090909,0.0
00:03:10,10.0,217,0,0.574,10.0,,,10.0,58.8,0.0
00:03:11,10.0,217,0,0.61,10.0,,,10.0,58.45454545454545,0.0
00:03:12,10.0,217,0,0.587,10.0,,,10.0,57.81818181818182,0.0
00:03:13,10.0,217,0,0.563,10.0,,,10.0,56.1,0.0
00:03:14,10.0,217,0,0.555,10.0,,,10.0,52.18181818181818,0.0
00:03:15,10.0,217,0,0.495,10.0,,,10.0,49.0,0.0
00:03:16,10.0,217,0,0.519,10.0,,,10.0,55.4,0.0
00:03:17,10.0,217,0,0.564,10.0,,,10.0,61.63636363636363,0.0
00:03:18,3.0,217,0,0.712,3.0,,,8.0,83.33333333333333,0.0
00:03:19,17.0,217,0,3.64,17.0,,,12.0,222.6315789473684,0.484
